playerID,yearID,teamID,AB,H,BB,HBP,SF
gittech01,2021,NYA,36,4,7,0,1
givenmy01,2021,COL,0,0,0,0,0
givenmy01,2021,CIN,0,0,0,0,0
glasnty01,2021,TBA,2,0,0,0,0
godleza01,2021,MIL,0,0,0,0,0
godoyjo01,2021,SEA,37,6,3,0,0
goldspa01,2021,SLN,603,177,67,4,5
gombeau01,2021,COL,32,3,1,0,0
gomesya01,2021,WAS,218,59,13,4,0
gomesya01,2021,OAK,131,29,6,2,1
gonsast01,2021,BOS,0,0,0,0,0
gonsoto01,2021,LAN,17,3,1,0,0
gonzach01,2021,COL,31,5,1,0,0
gonzaer01,2021,PIT,220,51,8,0,1
gonzalu03,2021,CHA,8,2,3,0,0
gonzama01,2021,BOS,242,49,19,8,1
gonzama01,2021,HOU,34,6,1,1,0
gonzama02,2021,SEA,4,0,0,0,0
gonzaro01,2021,CHA,32,8,1,0,0
gonzavi02,2021,LAN,0,0,0,0,0
goodrni01,2021,DET,290,62,29,4,2
goodwbr01,2021,CHA,235,52,33,1,1
gordoni01,2021,MIN,200,48,12,3,1
gosean01,2021,CLE,0,0,0,0,0
gosseph01,2021,LAA,345,90,24,3,1
goudeas01,2021,CIN,0,0,0,0,0
goudeas01,2021,COL,6,1,0,0,0
gourryu01,2021,HOU,530,169,59,4,12
grandya01,2021,CHA,279,67,87,3,5
gratebr01,2021,LAN,2,0,0,0,0
graveke01,2021,SEA,0,0,0,0,0
graveke01,2021,HOU,0,0,0,0,0
grayjo02,2021,COL,47,5,0,0,0
grayjo03,2021,LAN,3,0,0,0,0
grayjo03,2021,WAS,19,1,1,0,0
grayso01,2021,CIN,41,6,1,0,0
greench03,2021,NYA,0,0,0,0,0
greenco01,2021,BAL,0,0,0,0,0
greenco01,2021,LAN,0,0,0,0,0
greensh02,2021,ATL,0,0,0,0,0
greensh02,2021,LAN,0,0,0,0,0
gregodi01,2021,PHI,368,77,25,8,7
greingr01,2021,DET,72,17,9,0,0
greinza01,2021,HOU,2,0,0,0,0
grichra01,2021,TOR,511,123,27,3,4
grishtr01,2021,SDN,462,112,54,6,4
grossro01,2021,DET,557,133,98,8,6
gsellro01,2021,NYN,5,0,1,0,0
guduare01,2021,OAK,0,0,0,0,0
guentse01,2021,MIA,0,0,0,0,0
guerrde01,2021,OAK,0,0,0,0,0
guerrja01,2021,WAS,1,0,0,0,0
guerrja02,2021,SDN,0,0,0,0,0
guerrju02,2021,LAA,2,0,0,0,0
guerrvl02,2021,TOR,604,188,86,6,2
